ID_INVENTARIO,LOTE,ID_PRESENTACION,ID_PRODUCTO,ID_ESTADO_INVENTARIO,FECHA_ALTA,FECHA_VENCIMIENTO
1;1;30;2016-10-9;2016-10-9
2;2;22;2016-10-10;2016-10-10
2;3;47;2016-10-11;2016-10-11
3;4;28;2016-10-12;2016-10-12
2;1;20;2016-10-13;2016-10-13
3;2;47;2016-10-14;2016-10-14
5;3;28;2016-10-15;2016-10-15
1;4;30;2016-10-16;2016-10-16
2;1;33;2016-10-17;2016-10-17
3;2;30;2016-10-18;2016-10-18
1;3;30;2016-10-19;2016-10-19
2;4;22;2016-10-20;2016-10-20
3;1;47;2016-10-21;2016-10-21
1;2;28;2016-10-22;2016-10-22
2;3;20;2016-10-23;2016-10-23
2;4;47;2016-10-24;2016-10-24
3;1;28;2016-10-25;2016-10-25
2;2;30;2016-10-26;2016-10-26
3;3;33;2016-10-27;2016-10-27
5;4;30;2016-10-28;2016-10-28
1;1;30;2016-10-29;2016-10-29
2;2;22;2016-10-30;2016-10-30
3;3;47;2016-11-01;2016-11-01
1;4;28;2016-11-02;2016-11-02
2;1;20;2016-11-03;2016-11-03
3;2;47;2016-11-04;2016-11-04
1;3;28;2016-11-05;2016-11-05
2;4;30;2016-11-06;2016-11-06
2;1;37;2016-11-07;2016-11-07
3;2;34;2016-11-08;2016-11-08
2;3;25;2016-11-09;2016-11-09
3;4;52;2016-11-10;2016-11-10
5;1;31;2016-11-11;2016-11-11
1;2;22;2016-11-12;2016-11-12
2;3;52;2016-11-13;2016-11-13
3;4;31;2016-11-14;2016-11-14
1;1;34;2016-11-15;2016-11-15
2;2;37;2016-11-16;2016-11-16
3;3;34;2016-11-17;2016-11-17
1;4;25;2016-11-18;2016-11-18
2;1;52;2016-11-19;2016-11-19
2;2;31;2016-11-20;2016-11-20
3;3;22;2016-11-21;2016-11-21
2;4;52;2016-11-22;2016-11-22
3;1;31;2016-11-23;2016-11-23
5;2;34;2016-11-24;2016-11-24
1;3;37;2016-11-25;2016-11-25
2;1;34;2016-11-26;2016-11-26
3;2;25;2016-11-27;2016-11-27
1;3;52;2016-11-28;2016-11-28
2;4;31;2016-11-29;2016-11-29
3;1;22;2016-11-30;2016-11-30
1;2;52;2016-12-01;2016-12-01
2;3;31;2016-12-02;2016-12-02
2;4;34;2016-12-03;2016-12-03
3;1;37;2016-12-04;2016-12-04
2;2;34;2016-12-05;2016-12-05
3;3;25;2016-12-06;2016-12-06
5;4;52;2016-12-07;2016-12-07
1;1;31;2016-12-08;2016-12-08
2;2;22;2016-12-09;2016-12-09
3;3;52;2016-12-10;2016-12-10
1;4;31;2016-12-11;2016-12-11
2;1;34;2016-12-12;2016-12-12
3;2;37;2016-12-13;2016-12-13
1;3;34;2016-12-14;2016-12-14
2;4;25;2016-12-15;2016-12-15
2;1;52;2016-12-16;2016-12-16
3;2;31;2016-12-17;2016-12-17
2;3;22;2016-12-18;2016-12-18
3;1;52;2016-12-19;2016-12-19
5;2;31;2016-12-20;2016-12-20
1;3;34;2016-12-21;2016-12-21
2;4;37;2016-12-22;2016-12-22
3;1;34;2016-12-23;2016-12-23
1;2;25;2016-12-24;2016-12-24
2;3;52;2016-12-25;2016-12-25
3;4;31;2016-12-26;2016-12-26
1;1;22;2016-12-27;2016-12-27
2;2;52;2016-12-28;2016-12-28
2;3;31;2016-12-29;2016-12-29
3;4;34;2016-12-30;2016-12-30
2;1;37;2017-01-01;2017-01-01
3;2;34;2017-01-02;2017-01-02
5;3;20;2017-01-03;2017-01-03
1;4;15;2017-01-04;2017-01-04
2;1;34;2017-01-05;2017-01-05
3;2;25;2017-01-06;2017-01-06
1;3;52;2017-01-07;2017-01-07
2;4;31;2017-01-08;2017-01-08
3;1;22;2017-01-09;2017-01-09
1;2;52;2017-01-10;2017-01-10
2;3;31;2017-01-11;2017-01-11
2;1;34;2017-01-12;2017-01-12
3;2;37;2017-01-13;2017-01-13
2;3;34;2017-01-14;2017-01-14
3;4;34;2017-01-15;2017-01-15
5;1;25;2017-01-16;2017-01-16
1;2;52;2017-01-17;2017-01-17
2;3;31;2017-01-18;2017-01-18
3;4;22;2017-01-19;2017-01-19
1;1;52;2017-01-20;2017-01-20
2;2;31;2017-01-21;2017-01-21
1;3;34;2017-01-22;2017-01-22
2;4;37;2017-01-23;2017-01-23
2;1;34;2017-01-24;2017-01-24
3;2;34;2017-01-25;2017-01-25
2;3;25;2017-01-26;2017-01-26
3;4;52;2017-01-27;2017-01-27
5;1;31;2017-02-01;2017-02-01
1;2;22;2017-02-02;2017-02-02
2;3;52;2017-02-03;2017-02-03
3;4;31;2017-02-04;2017-02-04
1;1;34;2017-02-05;2017-02-05
2;2;37;2017-02-06;2017-02-06
3;3;34;2017-02-07;2017-02-07
1;4;25;2017-02-08;2017-02-08
2;1;52;2017-02-09;2017-02-09
2;2;31;2017-02-10;2017-02-10
3;3;22;2017-02-11;2017-02-11
2;4;52;2017-02-12;2017-02-12
3;1;31;2017-02-13;2017-02-13
5;2;34;2017-02-14;2017-02-14
1;3;37;2017-02-15;2017-02-15
2;4;34;2017-02-16;2017-02-16
3;1;25;2017-02-17;2017-02-17
1;2;52;2017-02-18;2017-02-18
2;3;31;2017-02-19;2017-02-19
3;4;22;2017-02-20;2017-02-20
1;1;52;2017-02-21;2017-02-21
2;2;31;2017-02-22;2017-02-22
2;3;34;2017-02-23;2017-02-23
3;4;37;2017-02-24;2017-02-24
2;1;34;2017-02-25;2017-02-25
3;2;25;2017-02-26;2017-02-26
5;3;52;2017-02-27;2017-02-27
1;4;31;2017-02-28;2017-02-28
2;1;22;2017-02-29;2017-02-29
3;2;52;2017-03-01;2017-03-01
1;3;31;2017-03-02;2017-03-02
2;4;34;2017-03-03;2017-03-03
3;1;37;2017-03-04;2017-03-04
1;2;34;2017-03-05;2017-03-05
2;3;25;2017-03-06;2017-03-06
2;4;52;2017-03-07;2017-03-07
3;1;31;2017-03-08;2017-03-08
2;2;22;2017-03-09;2017-03-09
3;3;52;2017-03-10;2017-03-10
5;4;31;2017-03-11;2017-03-11
1;1;34;2017-03-12;2017-03-12
2;2;37;2017-03-13;2017-03-13
3;3;34;2017-03-14;2017-03-14
1;4;25;2017-03-15;2017-03-15
2;1;52;2017-03-16;2017-03-16
1;2;31;2017-03-17;2017-03-17
2;3;37;2017-03-18;2017-03-18
2;4;87;2017-03-19;2017-03-19
3;1;52;2017-03-20;2017-03-20
2;2;57;2017-03-21;2017-03-21
3;3;62;2017-03-22;2017-03-22
5;4;57;2017-03-23;2017-03-23
1;1;41;2017-03-24;2017-03-24
2;2;87;2017-03-25;2017-03-25
3;3;52;2017-03-26;2017-03-26
1;1;37;2017-03-27;2017-03-27
2;2;87;2017-03-28;2017-03-28
3;3;52;2017-03-29;2017-03-29
1;4;57;2017-04-01;2017-04-01
2;1;62;2017-04-02;2017-04-02
2;2;57;2017-04-03;2017-04-03
3;3;33;2017-04-04;2017-04-04
2;4;25;2017-04-05;2017-04-05
3;1;57;2017-04-06;2017-04-06
5;2;41;2017-04-07;2017-04-07
1;3;87;2017-04-08;2017-04-08
2;4;52;2017-04-09;2017-04-09
3;1;37;2017-04-10;2017-04-10
1;2;87;2017-04-11;2017-04-11
2;3;52;2017-04-12;2017-04-12
3;4;57;2017-04-13;2017-04-13
1;1;62;2017-04-14;2017-04-14
2;2;57;2017-04-15;2017-04-15
2;3;57;2017-04-16;2017-04-16
3;4;41;2017-04-17;2017-04-17
2;1;87;2017-04-18;2017-04-18
3;2;52;2017-04-19;2017-04-19
5;3;37;2017-04-20;2017-04-20
1;1;87;2017-04-21;2017-04-21
2;2;52;2017-04-22;2017-04-22
3;3;57;2017-04-23;2017-04-23
1;4;62;2017-04-24;2017-04-24
2;1;57;2017-04-25;2017-04-25
3;2;57;2017-04-26;2017-04-26
1;3;41;2017-04-27;2017-04-27
2;4;87;2017-04-28;2017-04-28
2;1;52;2017-04-29;2017-04-29
3;2;37;2017-05-01;2017-05-01
2;3;87;2017-05-02;2017-05-02
3;4;52;2017-05-03;2017-05-03
5;1;57;2017-05-04;2017-05-04
1;2;62;2017-05-05;2017-05-05
2;3;57;2017-05-06;2017-05-06
3;4;41;2017-05-07;2017-05-07
1;1;87;2017-05-08;2017-05-08
2;2;52;2017-05-09;2017-05-09
1;3;37;2017-05-10;2017-05-10
2;4;87;2017-05-11;2017-05-11
2;1;52;2017-05-12;2017-05-12
3;2;57;2017-05-13;2017-05-13
2;3;62;2017-05-14;2017-05-14
3;1;57;2017-05-15;2017-05-15
5;2;41;2017-05-16;2017-05-16
1;3;87;2017-05-17;2017-05-17
2;4;52;2017-05-18;2017-05-18
3;1;37;2017-05-19;2017-05-19
1;2;87;2017-05-20;2017-05-20
2;3;52;2017-05-21;2017-05-21
3;4;57;2017-05-22;2017-05-22
1;1;62;2017-05-23;2017-05-23
2;2;57;2017-05-24;2017-05-24
2;3;41;2017-05-25;2017-05-25
3;4;87;2017-05-26;2017-05-26
2;1;52;2017-05-27;2017-05-27
3;2;37;2017-05-28;2017-05-28
5;3;87;2017-05-29;2017-05-29
1;4;52;2017-06-01;2017-06-01
2;1;57;2017-06-02;2017-06-02
3;2;62;2017-06-03;2017-06-03
1;3;57;2017-06-04;2017-06-04
2;4;41;2017-06-05;2017-06-05
3;1;87;2017-06-06;2017-06-06
1;2;52;2017-06-07;2017-06-07
2;3;37;2017-06-08;2017-06-08
2;4;87;2017-06-09;2017-06-09
3;1;52;2017-06-10;2017-06-10
2;2;57;2017-06-11;2017-06-11
3;3;62;2017-06-12;2017-06-12
5;4;57;2017-06-13;2017-06-13
1;1;41;2017-06-14;2017-06-14
2;2;87;2017-06-15;2017-06-15
3;3;52;2017-06-16;2017-06-16
1;4;37;2017-06-17;2017-06-17
2;1;87;2017-06-18;2017-06-18
3;2;52;2017-06-19;2017-06-19
1;3;57;2017-06-20;2017-06-20
2;4;62;2017-06-21;2017-06-21
2;1;57;2017-06-22;2017-06-22
3;2;41;2017-06-23;2017-06-23
2;3;87;2017-06-24;2017-06-24
3;4;52;2017-06-25;2017-06-25
5;1;37;2017-06-26;2017-06-26
1;2;87;2017-06-27;2017-06-27
2;3;52;2017-06-28;2017-06-28
3;4;30;2017-06-29;2017-06-29
1;1;33;2017-06-30;2017-06-30
2;2;30;2017-07-01;2017-07-01
1;3;17;2017-07-02;2017-07-02
2;4;13;2017-07-03;2017-07-03
2;1;30;2017-07-04;2017-07-04
3;2;22;2017-07-05;2017-07-05
2;3;46;2017-07-06;2017-07-06
3;4;28;2017-07-07;2017-07-07
5;1;20;2017-07-08;2017-07-08
1;2;46;2017-07-09;2017-07-09
2;3;28;2017-07-10;2017-07-10
3;4;30;2017-07-11;2017-07-11
1;1;33;2017-07-12;2017-07-12
2;2;30;2017-07-13;2017-07-13
3;3;30;2017-07-14;2017-07-14
1;4;22;2017-07-15;2017-07-15
2;1;46;2017-07-16;2017-07-16
2;2;28;2017-07-17;2017-07-17
3;3;20;2017-07-18;2017-07-18
2;4;46;2017-07-19;2017-07-19
3;1;28;2017-07-20;2017-07-20
5;2;30;2017-07-21;2017-07-21
1;3;33;2017-07-22;2017-07-22
2;4;30;2017-07-23;2017-07-23
3;1;30;2017-07-24;2017-07-24
1;2;22;2017-07-25;2017-07-25
2;3;46;2017-07-26;2017-07-26
3;1;28;2017-07-27;2017-07-27
1;2;20;2017-07-28;2017-07-28
2;3;46;2017-08-01;2017-08-01
2;4;28;2017-08-02;2017-08-02
3;1;30;2017-08-03;2017-08-03
2;2;33;2017-08-04;2017-08-04
3;3;30;2017-08-05;2017-08-05
5;4;22;2017-08-06;2017-08-06
1;1;46;2017-08-07;2017-08-07
2;2;28;2017-08-08;2017-08-08
3;3;20;2017-08-09;2017-08-09
1;4;46;2017-08-10;2017-08-10
2;1;28;2017-08-11;2017-08-11
3;2;30;2017-08-12;2017-08-12
1;3;33;2017-08-13;2017-08-13
2;4;30;2017-08-14;2017-08-14
2;1;22;2017-08-15;2017-08-15
3;2;46;2017-08-16;2017-08-16
2;3;28;2017-08-17;2017-08-17
3;4;20;2017-08-18;2017-08-18
5;1;46;2017-08-19;2017-08-19
1;2;28;2017-08-20;2017-08-20
2;3;30;2017-08-21;2017-08-21
